District Name,Modal Price (Rs./Quintal),Rainfall,Date,Year,Month,Fertilizer,Petrol Price,Lag_Price,Rolling_Rainfall
0,3000,0,01-01-2021,2021,1,13155.95,84.34,2800,98.37916667
9,3300,0,01-01-2021,2021,1,13155.95,84.34,3200,0
5,3000,0,01-01-2021,2021,1,13155.95,84.34,2500,0
1,1950,0,01-01-2021,2021,1,13155.95,84.34,1850,59.80555556
7,2500,0,01-01-2021,2021,1,13155.95,84.34,2500,66.25416667
3,1900,0,01-01-2021,2021,1,13155.95,84.34,1800,133.2380952
20,2000,0,01-01-2021,2021,1,13155.95,84.34,2000,70.86
2,2300,1.75,01-01-2021,2021,1,13155.95,84.34,2200,42.76666667
5,3000,0,01-01-2021,2021,1,13155.95,84.34,2500,0
20,2000,0,01-01-2021,2021,1,13155.95,84.34,2000,42.36
23,1900,6.433333333,01-01-2021,2021,1,13155.95,84.34,1800,21.72851852
1,1900,0,01-01-2021,2021,1,13155.95,84.34,1800,143.7777778
7,2500,0,01-01-2021,2021,1,13155.95,84.34,2000,33.70833333
0,1600,0,01-01-2023,2023,1,20086.58,104.9,1500,0
0,1500,0,01-01-2023,2023,1,20086.58,104.9,2000,113.125
2,2100,0,01-01-2023,2023,1,20086.58,104.9,2000,111.3972222
7,1500,0,01-01-2023,2023,1,20086.58,104.9,1500,55.93333333
2,2500,0,01-01-2023,2023,1,20086.58,104.9,2400,25.94444444
14,2000,0.161538462,01-01-2023,2023,1,20086.58,104.9,2000,100.025641
11,1600,0,01-01-2023,2023,1,20086.58,104.9,1600,0
8,1200,0,01-01-2023,2023,1,20086.58,104.9,1500,20.19545455
20,2000,0,01-01-2023,2023,1,20086.58,104.9,2000,6.786666667
9,1800,0,01-01-2023,2023,1,20086.58,104.9,1700,200.8333333
7,1400,0,01-01-2023,2023,1,20086.58,104.9,1300,111.8666667
21,1400,0,01-01-2023,2023,1,20086.58,104.9,1300,38.04242424
13,1200,0.777777778,01-01-2023,2023,1,20086.58,104.9,1150,24.74814815
14,2000,0.161538462,01-01-2023,2023,1,20086.58,104.9,1600,42.93589744
14,2000,0.161538462,01-01-2023,2023,1,20086.58,104.9,2000,37.67948718
1,850,0,01-01-2023,2023,1,20086.58,104.9,800,225.5444444
12,1500,0,01-01-2023,2023,1,20086.58,104.9,1800,91.46410256
2,2300,1.75,02-01-2021,2021,1,13155.95,84.34,2200,95.92222222
0,2800,0,02-01-2021,2021,1,13155.95,84.34,2500,232.4875
0,2800,0,02-01-2021,2021,1,13155.95,84.34,2500,33.49583333
0,2500,0,02-01-2021,2021,1,13155.95,84.34,2200,84.26666667
3,1900,0,02-01-2021,2021,1,13155.95,84.34,1700,17.75238095
9,3300,0,02-01-2021,2021,1,13155.95,84.34,3300,0
20,2000,0,02-01-2021,2021,1,13155.95,84.34,2200,33.88
7,2500,0,02-01-2021,2021,1,13155.95,84.34,2000,82.78333333
23,1800,6.433333333,02-01-2021,2021,1,13155.95,84.34,1800,256.7444444
14,2500,0.592307692,02-01-2021,2021,1,13155.95,84.34,2000,1.623076923
6,2400,0,02-01-2021,2021,1,13155.95,84.34,2000,134.7487179
14,2000,0.592307692,02-01-2021,2021,1,13155.95,84.34,2000,46.6025641
3,2000,0,02-01-2021,2021,1,13155.95,84.34,1900,0
1,1950,0,02-01-2021,2021,1,13155.95,84.34,1850,57.775
2,1500,0,02-01-2023,2023,1,20086.58,104.9,1500,34.225
7,1200,0,02-01-2023,2023,1,20086.58,104.9,1200,0
13,1200,0.777777778,02-01-2023,2023,1,20086.58,104.9,1300,167.2962963
2,2300,0,02-01-2023,2023,1,20086.58,104.9,2200,249.6277778
13,1400,0.777777778,02-01-2023,2023,1,20086.58,104.9,1400,125.5185185
3,1200,0.714285714,02-01-2023,2023,1,20086.58,104.9,1100,99.25714286
3,1100,0.714285714,02-01-2023,2023,1,20086.58,104.9,900,0.238095238
7,1200,0,02-01-2023,2023,1,20086.58,104.9,1000,22.64166667
14,2000,0.161538462,02-01-2023,2023,1,20086.58,104.9,1800,222.3128205
8,1400,0,02-01-2023,2023,1,20086.58,104.9,1200,16.41212121
20,2000,0,02-01-2023,2023,1,20086.58,104.9,2000,3.133333333
1,900,0,02-01-2023,2023,1,20086.58,104.9,700,0.083333333
12,2000,0,02-01-2023,2023,1,20086.58,104.9,1800,98.77179487
21,1500,0,02-01-2023,2023,1,20086.58,104.9,1400,61.14545455
